Key,Unmet
GP|ALBURY|GP,7546.740038692782
GP|BULWER ISLAND|GP,0.0
SG|BULWER ISLAND|SG,0.0
SG|CHULLORA|SG,42549.42600117854
GP|CLYDE|GP,74177.69277966658
SG|CLYDE|SG,81592.13638380292
GP|GLADSTONE|GP,0.0
GP|MACKAY|GP,2436.305616513819
FA|MELBOURNE|FA,1806.9926018241927
GP|MELBOURNE|GP,758995.5682892235
SG|MELBOURNE|SG,385776.79680370644
GP|NEWCASTLE|GP,187007.90170218807
SG|NEWCASTLE|SG,28079.25327381536
GP|OSBORN|GP,124644.82321920616
FA|PORT KEMBLA|FA,310479.38492163055
GP|PORT KEMBLA|GP,806168.8976480087
SG|PORT KEMBLA|SG,0.0
GP|RAILTON|GP,0.0
SG|TENNYSON|SG,102403.32803434871
GP|TOWNSVILLE|GP,408256.2159026592
GP|WAGGA|GP,419.48319301192106
