Key,Unmet
FA|Melbourne|FA_STORE|FA,412298.6
SG|Clyde|SG_STORE|SG,81768.2
GP|Melbourne|GP_STORE|GP,835665.5
SG|Chullora|SG_STORE|SG,42652.4
FA|Port Kembla|FA_STORE|FA,310997.8
GP|Clyde|GP_STORE|GP,22464.5
GP|Townsville|GP_STORE|GP,408039.6
GP|Osborn|GP_STORE|GP,133664.5
GP|Bulwer Island|GP_STORE|GP,238936.6
SG|Newcastle|SG_STORE|SG,28212.3
GP|Newcastle|GP_STORE|GP,186231.0
FA|Osborn|FA_STORE|FA,58971.9
SG|Bulwer Island|SG_STORE|SG,54505.5
SG|Melbourne|SG_STORE|SG,350144.5
GP|Mackay|GP_STORE|GP,673.3
